Pos	PosRank	Player	Team	AB	R	HR	RBI	SB	AVG	OBP	SLG	Value	SBAB
1B	35	Adam Dunn	CWS	422	56	26	66	1	0.209	0.32	0.429	-$4.00	0.0023696682
1B	31	Adam LaRoche	WAS	458	60	19	68	3	0.249	0.333	0.428	$0.00	0.0065502183
1B	27	Adam Lind	TOR	468	57	22	69	1	0.265	0.329	0.462	$3.00	0.0021367521
1B	7	Adrian Gonzalez	LAD	576	78	22	95	1	0.285	0.345	0.46	$23.00	0.0017361111
1B	13	Albert Pujols	LAA	484	75	24	83	4	0.277	0.348	0.483	$19.00	0.0082644628
1B	11	Allen Craig	STL	527	75	18	90	3	0.287	0.343	0.455	$19.00	0.0056925996
1B	12	Anthony Rizzo	CHC	567	74	26	87	6	0.265	0.345	0.473	$19.00	0.0105820106
1B	19	Brandon Belt	SF	506	70	15	72	8	0.267	0.349	0.439	$8.00	0.0158102767
1B	66	Brandon Laird	KAN	100	10	4	13	0	0.24	0.283	0.41	-$40.00	0
1B	18	Brandon Moss	OAK	461	70	26	76	4	0.243	0.32	0.473	$10.00	0.0086767896
1B	58	Brett Wallace	HOU	162	20	6	21	0	0.241	0.309	0.401	-$33.00	0
1B	14	Buster Posey	SF	525	72	18	85	2	0.291	0.369	0.461	$24.00	0.0038095238
1B	51	Carlos Pena	LAA	225	31	8	30	1	0.218	0.331	0.378	-$28.00	0.0044444444
1B	16	Carlos Santana	CLE	523	77	20	80	4	0.254	0.367	0.438	$19.00	0.0076481836
1B	29	Chris Carter	HOU	461	62	26	72	3	0.223	0.318	0.445	$2.00	0.0065075922
1B	47	Chris Colabello	MIN	272	31	11	36	1	0.25	0.322	0.415	-$22.00	0.0036764706
1B	2	Chris Davis	BAL	547	83	41	102	3	0.267	0.342	0.552	$34.00	0.0054844607
1B	32	Chris Johnson	ATL	506	52	13	69	2	0.275	0.318	0.419	-$1.00	0.0039525692
1B	69	Chris Parmelee	MIN	72	7	2	8	0	0.236	0.313	0.361	-$43.00	0
1B	54	Conor Gillaspie	CWS	219	25	7	24	1	0.247	0.313	0.388	-$31.00	0.00456621
1B	25	Corey Hart	SEA	465	68	19	65	5	0.258	0.32	0.447	$5.00	0.0107526882
1B	63	Daric Barton	OAK	115	15	2	13	1	0.243	0.346	0.348	-$39.00	0.0086956522
1B	43	Darin Ruf	PHI	331	42	14	44	1	0.245	0.324	0.432	-$15.00	0.003021148
1B	9	Eric Hosmer	KAN	578	77	18	79	12	0.289	0.35	0.446	$21.00	0.0207612457
1B	6	Freddie Freeman	ATL	532	80	23	90	2	0.289	0.368	0.483	$24.00	0.0037593985
1B	44	Gaby Sanchez	PIT	340	41	9	43	2	0.253	0.339	0.391	-$17.00	0.0058823529
1B	36	Garrett Jones	MIA	448	54	17	63	3	0.241	0.302	0.422	-$4.00	0.0066964286
1B	62	Greg Dobbs	MIA	153	14	2	16	1	0.248	0.303	0.333	-$38.00	0.0065359477
1B	37	Ike Davis	NYM	407	55	19	60	3	0.233	0.335	0.423	-$5.00	0.0073710074
1B	40	James Loney	TB	441	46	9	55	3	0.268	0.321	0.383	-$10.00	0.0068027211
1B	64	Jason Giambi	CLE	106	12	4	14	0	0.226	0.322	0.387	-$40.00	0
1B	5	Joey Votto	CIN	519	88	25	82	6	0.295	0.423	0.511	$28.00	0.0115606936
1B	8	Jose Dariel Abreu	CWS	487	80	30	78	5	0.273	0.354	0.513	$22.00	0.0102669405
1B	28	Justin Morneau	COL	455	58	16	70	0	0.275	0.339	0.446	$2.00	0
1B	38	Justin Smoak	SEA	488	58	19	60	0	0.234	0.322	0.393	-$6.00	0
1B	59	Justin Turner	FA	200	20	2	20	1	0.255	0.304	0.355	-$32.00	0.005
1B	22	Kendrys Morales	FA	512	63	20	75	0	0.266	0.323	0.436	$6.00	0
1B	56	Kevin Frandsen	PHI	215	23	3	22	2	0.265	0.31	0.367	-$30.00	0.0093023256
1B	53	Kyle Blanks	SD	219	28	7	26	2	0.237	0.304	0.393	-$28.00	0.0091324201
1B	41	Logan Morrison	SEA	407	50	13	53	1	0.246	0.333	0.41	-$11.00	0.0024570025
1B	48	Lucas Duda	NYM	268	33	10	35	1	0.235	0.332	0.403	-$23.00	0.0037313433
1B	68	Mark DeRosa	TOR	100	12	2	13	0	0.23	0.325	0.34	-$39.00	0
1B	49	Mark Reynolds	MIL	214	29	12	35	1	0.229	0.321	0.444	-$25.00	0.0046728972
1B	17	Mark Teixeira	NYY	465	70	25	85	2	0.241	0.334	0.452	$11.00	0.0043010753
1B	23	Matt Adams	STL	469	61	23	72	2	0.26	0.309	0.458	$6.00	0.0042643923
1B	10	Michael Cuddyer	COL	504	70	21	78	9	0.296	0.357	0.498	$19.00	0.0178571429
1B	50	Mike Carp	BOS	205	25	8	33	1	0.268	0.333	0.463	-$24.00	0.0048780488
1B	24	Mike Napoli	BOS	435	65	23	72	2	0.246	0.343	0.469	$5.00	0.0045977011
1B	30	Mitch Moreland	TEX	465	59	21	64	1	0.256	0.322	0.449	$1.00	0.0021505376
1B	70	Nate Freiman	SD	62	5	1	6	0	0.161	0.2	0.242	-$47.00	0
1B	20	Nick Swisher	CLE	534	75	21	71	2	0.251	0.345	0.427	$7.00	0.0037453184
1B	1	Paul Goldschmidt	ARI	561	91	31	101	14	0.28	0.376	0.517	$38.00	0.0249554367
1B	46	Paul Konerko	CWS	279	33	10	38	0	0.269	0.34	0.416	-$20.00	0
1B	4	Prince Fielder	TEX	557	83	29	98	1	0.285	0.382	0.497	$30.00	0.0017953321
1B	33	Ryan Howard	PHI	424	55	21	71	1	0.241	0.312	0.45	$0.00	0.0023584906
1B	67	Ryan Wheeler	COL	88	9	2	11	1	0.273	0.312	0.398	-$40.00	0.0113636364
1B	55	Sean Rodriguez	TB	204	26	5	23	3	0.23	0.299	0.363	-$31.00	0.0147058824
1B	34	Yonder Alonso	SD	498	53	11	64	6	0.269	0.339	0.39	-$2.00	0.0120481928
2B	10	Aaron Hill	ARI	524	70	17	68	8	0.275	0.333	0.445	$11.00	0.0152671756
2B	30	Alberto Callaspo	OAK	346	41	7	40	2	0.26	0.337	0.367	-$17.00	0.0057803468
2B	22	Alex Guerrero	LAD	460	54	14	56	2	0.254	0.311	0.4	-$5.00	0.0043478261
2B	54	Alexi Amarista	SD	225	24	3	24	4	0.249	0.293	0.364	-$28.00	0.0177777778
2B	35	Alexi Casilla	BAL	270	37	2	26	14	0.248	0.305	0.337	-$22.00	0.0518518519
2B	17	Anthony Rendon	WAS	520	63	13	61	3	0.263	0.339	0.413	$1.00	0.0057692308
2B	51	Arismendy Alcantara	CHC	200	23	4	21	8	0.245	0.304	0.38	-$29.00	0.04
2B	9	Ben Zobrist	TB	554	81	14	70	12	0.258	0.349	0.408	$14.00	0.0216606498
2B	68	Brandon Inge	FA	190	18	4	22	1	0.216	0.27	0.326	-$35.00	0.0052631579
2B	5	Brandon Phillips	CIN	559	76	17	79	8	0.27	0.319	0.415	$16.00	0.0143112701
2B	19	Brian Dozier	MIN	501	62	12	54	12	0.251	0.312	0.393	$0.00	0.0239520958
2B	45	Brian Roberts	NYY	239	27	5	28	4	0.247	0.31	0.364	-$27.00	0.0167364017
2B	71	Cesar Hernandez	PHI	100	12	1	8	4	0.27	0.318	0.36	-$38.00	0.04
2B	14	Chase Utley	PHI	445	65	16	62	9	0.263	0.339	0.443	$5.00	0.0202247191
2B	80	Chris Getz	TOR	72	8	0	7	3	0.236	0.286	0.264	-$42.00	0.0416666667
2B	67	Cliff Pennington	ARI	155	17	2	15	4	0.252	0.31	0.355	-$33.00	0.0258064516
2B	23	Dan Uggla	ATL	383	54	17	52	2	0.214	0.321	0.389	-$10.00	0.0052219321
2B	13	Daniel Murphy	NYM	523	67	9	61	13	0.279	0.319	0.402	$7.00	0.0248565966
2B	59	Danny Espinosa	WAS	189	22	5	20	4	0.228	0.284	0.37	-$32.00	0.0211640212
2B	29	Darwin Barney	CHC	427	49	5	39	5	0.248	0.298	0.342	-$16.00	0.0117096019
2B	58	Donovan Solano	MIA	249	24	2	21	3	0.261	0.311	0.337	-$30.00	0.0120481928
2B	3	Dustin Pedroia	BOS	542	77	12	73	15	0.295	0.367	0.435	$19.00	0.0276752768
2B	72	Elliot Johnson	CLE	100	11	2	10	6	0.23	0.28	0.34	-$37.00	0.06
2B	62	Freddy Galvis	PHI	215	19	4	22	2	0.237	0.278	0.358	-$32.00	0.0093023256
2B	24	Gordon Beckham	CWS	432	53	10	44	5	0.252	0.313	0.38	-$10.00	0.0115740741
2B	61	Grant Green	LAA	165	19	3	18	1	0.261	0.307	0.382	-$33.00	0.0060606061
2B	12	Howie Kendrick	LAA	528	64	12	66	9	0.278	0.318	0.413	$7.00	0.0170454545
2B	4	Ian Kinsler	DET	559	88	16	63	17	0.267	0.34	0.42	$18.00	0.030411449
2B	2	Jason Kipnis	CLE	544	81	16	75	24	0.267	0.347	0.423	$21.00	0.0441176471
2B	11	Jedd Gyorko	SD	529	69	22	74	3	0.255	0.309	0.433	$10.00	0.0056710775
2B	39	Jemile Weeks	BAL	297	38	2	25	9	0.249	0.32	0.337	-$23.00	0.0303030303
2B	57	Jonathan Schoop	BAL	195	23	6	22	1	0.241	0.295	0.364	-$30.00	0.0051282051
2B	8	Jose Altuve	HOU	582	70	7	53	31	0.285	0.328	0.385	$12.00	0.0532646048
